CUSTOMERNAME|CUSTOMERTYPE|PARENTCUSTOMER|CUSTOMPROPERTY1|CUSTOMPROPERTY2|CUSTOMPROPERTY3|CUSTOMPROPERTY4|CUSTOMPROPERTY7|CUSTOMPROPERTY9|CUSTOMPROPERTY16|CUSTOMPROPERTY17|CUSTOMPROPERTY18|CUSTOMPROPERTY19|CUSTOMPROPERTY20|CUSTOMPROPERTY21
Kang Family Partners|Franchisee(F),Owner(F)|||0011I00000cJXVnQAO|||North American|West||||Active|99.611|
Kansas City Downtown Hotel Group|Owner(F)|||0011I00000cJXVoQAO|||North American|MW||||Active|99.628|
Kessler Enterprise, Inc. IV|Owner(F),Franchisee(F),Manager(F)|||0011I00000cJXVpQAO|||North American|SE||||Active|99.959|
Key International|Franchisee(F),Owner(M),Owner(F)|||0011I00000cJXVqQAO|||North American|SE||||Active|98.166|
Kimball Investment|Owner(F),Franchisee(F)|||0011I00000cJXVrQAO|||North American|West||||Active|99.13B|
Kimberly-Clark Corporation||||0011I00000cJXVsQAO|||North American|SoCent||||Inactive||
Kinsman Hotel Associates|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXVtQAO|||North American|SE||||Active|99.264|
Apple Hospitality|Franchisee(F),Owner(F),Owner(M)|||0011I00000cJXVuQAO|||North American|MidAtl||||Active|98.118|99.679
Kossman Development Company|Franchisee(F),Owner(F)|||0011I00000cJXVvQAO|||North American|MidAtl||||Active|99.266|
Southern Hospitality Services, LLC|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXVwQAO|||North American|SE||||Active|99.277|
LL and C Pacific Company, Inc.|Franchisee(F),Owner(F)|||0011I00000cJXVxQAO|||North American|West||||Active|99.285|
L.T.D. Hospitality Group|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXVyQAO|||North American|MidAtl||||Active|99.289|
